sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-0.5140912900111898,2.789604787404877e-06,8.581207838493522e-07,8.581251972714667e-07,0.008282830216087294
0.001,-0.5110031282336809,3.406722905171981e-06,1.0758401790111585e-06,1.0758461920733395e-06,0.00866995059807733
0.001,-0.507914966456172,4.150513923967437e-06,1.3449876624231456e-06,1.344995826652012e-06,0.009072666789502977
0.001,-0.5048268046786666,5.044812335154818e-06,1.6767556896416652e-06,1.6767667366608128e-06,0.009491476423813467
0.001,-0.5017386429011578,6.11749127184634e-06,2.084548155034825e-06,2.0845630519605055e-06,0.009926886585348947
0.001,-0.49865048112364885,7.401061574951068e-06,2.584368281488253e-06,2.584388302263192e-06,0.010379413674662417
0.001,-0.49556231934614,8.933344681529985e-06,3.195264635740306e-06,3.1952914526550534e-06,0.010849583254539994
0.001,-0.49247415756863105,1.0758225991929081e-05,3.939842138730764e-06,3.9398779394180115e-06,0.011337929876087519
0.001,-0.4893859957911257,1.2926495601770145e-05,4.844845436548279e-06,4.8448930729979355e-06,0.011844996884270298
0.001,-0.4862978340136168,1.549678346310262e-05,5.94182247700501e-06,5.941885654679167e-06,0.012371336202307025
0.001,-0.48320967223610795,1.853659615540655e-05,7.267876588557276e-06,7.267960105533702e-06,0.012917508094321089
0.001,-0.480121510458599,2.2123462490814334e-05,8.8665157700289e-06,8.866625818325445e-06,0.01348408090568926
0.001,-0.47703334868109015,2.6346195136911636e-05,1.0788608257675548e-05,1.0788752801569514e-05,0.014071630780526359
0.001,-0.4739451869035848,3.1306275303693154e-05,1.3093453725913784e-05,1.3093642975241432e-05,0.014680741355775835
0.001,-0.4708570251260759,3.711936729629532e-05,1.5849979683617423e-05,1.585022668379912e-05,0.015312003431400075
0.001,-0.467768863348567,4.3916969370500825e-05,1.9138072732440312e-05,1.9138394097414518e-05,0.01596601461617466
0.001,-0.4646807015710581,5.1848206832814645e-05,2.3050054339882255e-05,2.3050471159342296e-05,0.01664337894864242
0.001,-0.46159253979354925,6.108177268926073e-05,2.7692310629551116e-05,2.769284958796652e-05,0.017344706492787472
0.001,-0.4585043780160439,7.180802035858507e-05,3.318708538648344e-05,3.318778013846128e-05,0.018070612908034966
0.001,-0.45541621623853495,8.424121201603973e-05,3.9674444998440366e-05,3.967533785315632e-05,0.018821718993216184
0.001,-0.4523280544610261,9.862192501710545e-05,4.7314423387316134e-05,4.731556736413497e-05,0.019598650204158536
0.001,-0.4492398926835172,0.00011521961756065833,5.6289354112321825e-05,5.629081544044573e-05,0.020402036144626153
0.001,-0.44615173090600835,0.0001343353532838455,6.680639573276121e-05,6.680825687989865e-05,0.021232510030348723
0.001,-0.4430635691285029,0.0001563046828367355,7.910025519075809e-05,7.91026185194866e-05,0.022090708125935016
0.001,-0.43997540735099405,0.00018150067866311872,9.343611240221542e-05,9.343910456798751e-05,0.02297726915451281
0.001,-0.4368872455734852,0.00021033711722053566,0.00011011274741962102,0.00011011652464126801,0.023892833679965475
0.001,-0.4337990837959763,0.00024327180071485665,0.00012946586944987038,0.00012947062380197895,0.024838043461716783
0.001,-0.4307109220184674,0.00028081000811158805,0.0001518716446718354,0.00015187761156842648,0.02581354078203496
0.001,-0.427622760240962,0.00032350806273489483,0.00017775041720760842,0.00017775788426796697,0.026819967745897316
0.001,-0.42453459846345315,0.0003719770011898904,0.00020757061476582494,0.00020757993227583143,0.027857965553515725
0.001,-0.4214464366859443,0.0004268863256686442,0.00024185282740832447,0.00024186442061379398,0.02892817374565508
0.001,-0.41835827490843536,0.000488967818949788,0.0002811740446140281,0.00028118842810575785,0.030031229421978452
0.001,-0.4152701131309265,0.0005590193986011886,0.00032617203234705977,0.0003261898268196831,0.031167766432671908
0.001,-0.4121819513534211,0.0006379089840824169,0.0003775498282136879,0.0003775717799009092,0.03233841454368931
